Lab ID,Core,CoreTopDepth,SampleThickness,CompositeDepth,SedMass_g,HPLCID,d13C,%Cwt,d15N,%Nwt,C/N,Age_yr,Std_ug,GDGT-0,GDGT-1,GDGT-2,GDGT-3,GDGT-4,GDGT-4',brGDGT-IIIa-5Me,brGDGT-IIIa-6Me,brGDGT-IIIb-5Me,brGDGT-IIIb-6Me,brGDGT-IIIc-5Me,brGDGT-IIIc-6Me,brGDGT-IIa-5Me,brGDGT-IIa-6Me,brGDGT-IIb-5Me,brGDGT-IIb-6Me,brGDGT-IIc-5Me,brGDGT-IIc-6Me,brGDGT-Ia,brGDGT-Ib,brGDGT-Ic,IntStd,LCA37:4,LCA37:3a,LCA37:3b,LCA37:2,BayMBT_low,BayMBT,BayMBT_high
AC069,16GUS-A2,144,0.5,200.5,0.16792,H1711000105,-25.48495029,8.019014075,1.084180973,0.761204743,10.53463493,8313,0.1,771303,16138.5,2492.46411,0,3591.43872,0,900929,229618,54367,12530.4,4553.8667,0,1245500,580357,225457,15478.3,21025.7,2545.96558,1217140,152009,19014.1,487306,,,,,1.988406338,7.555952888,13.69977654
AC070,16GUS-A2,145,0.5,201.5,0.21807,H1801000058,-25.34669476,9.109558075,0.880377795,0.700260218,13.0088185,8452,0.1,305395,27055.9,6081.00537,1235.16711,112225,2291.48145,1738240,374348,25627.8,11969.3,8819.4707,1164.17932,1931990,623618,209895,50525.7,43772.4,2442.9314,1569120,305187,52753.4,687080,,,,,4.074512156,10.07954223,15.62473266
AC071,16GUS-A2,146,0.5,202.5,0.22041,H1801000148,-24.40324679,13.63480889,0.84755556,0.986310239,13.82405692,8595,0.1,347429,14881.4,4526.77637,1413.16016,2996.50732,0,469258,140595,14856,6599.74121,2438.06982,0,627463,341627,155310,24624.9,16863.1,0,687309,92278.6,13386.7,567009,,,,,2.866071832,8.766275153,14.40441561
AC094,16GUS-A2,147,0.5,203.5,0.14075,H1711000112,-24.13451212,8.614566842,0.728138558,0.603920072,14.26441551,8738,0.1,313956,5772.62695,0,0,2491.87329,0,413754,100607,28826.6,3857.93652,3819.05591,0,668045,298247,111103,9567.62891,15361.2,0,758505,78912,9551.02832,436369,,,,,2.445937594,7.566118751,13.01326934
AC087,16GUS-A2,148,0.5,204.5,0.14183,H1801000062,-23.83240073,10.01291987,1.517875575,0.636625112,15.72812584,8881,0.1,541821,10322.7,0,0,3630.90723,0,778098,208930,35758.4,13505.2,4629.04688,0,1157990,542190,197818,17205.3,26041.5,0,1363550,136496,16886.2,763182,,,,,3.500122607,9.316135606,14.44641251
AC077,16GUS-A2,149,0.5,205.5,0.18915,H1801000150,-23.37436088,7.612559998,1.750732273,0.546605577,13.92697095,8979,0.1,711556,17297.5,0,0,5115.89307,0,1216460,415479,65571.3,21993.7,8582.67676,0,1895280,961584,354943,47762.2,37735,0,2080080,239508,25335.2,886626,,,,,2.573672827,8.170999052,13.92585582
AC100,16GUS-A2,150,0.5,206.5,0.31916,H1712000005,-23.05386131,8.829144907,0.212773251,0.688123271,12.83076053,9032,0.1,1182640,19099.6,2191.99146,0,7323.24365,676.45233,1759820,481846,157953,32821.3,5785.62305,21568.2,2523010,1166120,534207,67304.7,73042.1,0,2630720,293628,79485.9,479798,,,,,3.023682458,8.389783888,14.52608931
AC103,16GUS-A2,151,0.5,207.5,0.18945,H1801000077,-22.67585628,8.588869303,0.704114145,0.690490864,12.43878776,9078,0.1,973500,13266.6,0,0,5285.65918,0,1473740,468896,122998,31858.1,23945.9,0,2255190,936086,438555,54384.3,77975.1,0,2112850,217604,19808.5,722320,,,,,1.841865762,7.847608552,13.460756
AC108,16GUS-A2,152,0.5,208.5,0.33199,H1801000159,-22.3497535,6.657651582,1.279887627,0.434097558,15.33676348,9121,0.1,541741,62432.6,14995.6,0,4883.2041,0,1231100,440114,13004.8,26160.1,13649.8,0,1564710,959751,336818,52568.2,47164.1,0,1697780,195485,16720,514676,,,,,4.121154618,9.954550134,15.58247465
AC005,16GUS-A2,154,0.5,210.5,0.52267,H1711000088,NA,NA,NA,NA,NA,9214,0.1,326657,44730.1,10456.8,0,3607.31885,0,666914,270661,27913.7,14363.9,5558.87646,0,796883,475797,161383,32984.5,20434.3,0,899910,112649,9945.03711,NA,,,,,1.811969707,7.563717328,13.2028066
