UK37,Temp
-0.6,-2.8
-0.55,-1.975
-0.53,-0.25
-0.59,-0.15
-0.68,-4.35
-0.61,-4.35
-0.66,-4.35
-0.61,-4.35
-0.6,-4.35
-0.39,1.6
-0.45,-1.775
-0.54,0.1
-0.48,0.225
-0.63,-0.025
-0.53,0.5
-0.48,1.1
-0.48,0.35
-0.35,-0.575
-0.49,-3.4
-0.42,2
-0.4,2.025
-0.45,2.05
-0.32,5.75
